,Adj Close,Adj Close,Adj Close,Adj Close
,AAPL,GOOG,MSFT,TSLA
Date,,,,
2012-08-B2,20.249333381652832,16.982844352722168,24.982547760009766,1.934000015258789
2012-09-B1,20.908733367919922,17.631787300109863,25.30001735687256,1.9913334846496582
2012-09-B2,20.83968734741211,18.53664493560791,24.807530403137207,1.976666510105133
2012-10-B1,19.545730590820312,18.83440399169922,24.034201622009277,1.8843334913253784
2012-10-B2,18.196143468221027,16.976866404215496,23.43046506245931,1.8675553401311238
2012-11-B1,16.418692588806152,16.316466331481934,22.52825355529785,2.072000026702881
2012-11-B2,17.712997436523438,17.01547145843506,22.290698051452637,2.198333501815796
2012-12-B1,15.971372604370117,17.262420654296875,21.859822273254395,2.2660000324249268
2012-12-B2,15.88318125406901,17.879732131958008,22.088252385457356,2.2582223415374756
2013-01-B1,15.623172760009766,17.988823890686035,22.192214965820312,2.2476664781570435
